ap,dv,lr,area,color,ignore,dur,wave
8525.0,750.0,3825.0,VIS,08858C,0,False,False
8525.0,750.0,3825.0,VIS,08858C,0,False,False
8525.0,725.0,3850.0,VIS,08858C,0,False,False
8525.0,700.0,3850.0,VIS,08858C,0,False,False
8525.0,700.0,3850.0,VIS,08858C,0,False,False
8525.0,700.0,3875.0,VIS,08858C,0,False,False
8525.0,650.0,3875.0,VIS,08858C,0,True,False
8525.0,650.0,3875.0,VIS,08858C,0,True,False
8525.0,650.0,3875.0,VIS,08858C,0,True,False
8525.0,575.0,3925.0,VIS,08858C,0,False,False
8525.0,575.0,3925.0,VIS,08858C,0,False,False
8525.0,550.0,3925.0,VIS,08858C,0,False,False
8525.0,550.0,3925.0,VIS,08858C,0,False,False
8525.0,500.0,3950.0,VIS,08858C,0,False,False
8525.0,650.0,3875.0,VIS,08858C,0,True,False
8525.0,650.0,3875.0,VIS,08858C,0,True,False
8525.0,625.0,3900.0,VIS,08858C,0,True,False
8525.0,725.0,3850.0,VIS,08858C,0,False,False
8500.0,975.0,3750.0,VIS,08858C,0,False,False
8525.0,925.0,3775.0,VIS,08858C,0,False,True
8525.0,900.0,3775.0,VIS,08858C,0,True,False
8525.0,900.0,3775.0,VIS,08858C,0,False,False
8525.0,875.0,3775.0,VIS,08858C,0,False,False
8525.0,800.0,3825.0,VIS,08858C,0,False,False
8525.0,775.0,3825.0,VIS,08858C,0,False,True
8525.0,775.0,3825.0,VIS,08858C,0,True,False
8525.0,775.0,3825.0,VIS,08858C,0,True,True
8525.0,750.0,3825.0,VIS,08858C,0,False,False
8525.0,750.0,3825.0,VIS,08858C,0,True,False
8525.0,725.0,3850.0,VIS,08858C,0,False,False
8525.0,725.0,3850.0,VIS,08858C,0,False,False
8525.0,950.0,3750.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1200.0,3650.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1200.0,3650.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1150.0,3675.0,VIS,08858C,0,False,False
8500.0,1100.0,3675.0,VIS,08858C,0,False,False
8500.0,1125.0,3675.0,VIS,08858C,0,False,False
8500.0,1125.0,3675.0,VIS,08858C,0,False,False
8500.0,1125.0,3675.0,VIS,08858C,0,False,False
8500.0,1125.0,3675.0,VIS,08858C,0,False,False
8500.0,1125.0,3675.0,VIS,08858C,0,False,False
8500.0,1100.0,3675.0,VIS,08858C,0,False,False
8500.0,1100.0,3675.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1075.0,3700.0,VIS,08858C,0,False,False
8500.0,1100.0,3675.0,VIS,08858C,0,False,False
8500.0,1125.0,3675.0,VIS,08858C,0,False,False
8500.0,1075.0,3700.0,VIS,08858C,0,True,False
8500.0,1075.0,3700.0,VIS,08858C,0,True,False
8500.0,1100.0,3675.0,VIS,08858C,0,False,False
8500.0,1075.0,3700.0,VIS,08858C,0,True,False
8500.0,1075.0,3700.0,VIS,08858C,0,False,False
8500.0,1050.0,3700.0,VIS,08858C,0,False,False
8500.0,1025.0,3725.0,VIS,08858C,0,False,False
8500.0,1025.0,3725.0,VIS,08858C,0,True,False
8500.0,1025.0,3725.0,VIS,08858C,0,False,False
8500.0,975.0,3725.0,VIS,08858C,0,False,False
8500.0,1125.0,3675.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1125.0,3675.0,VIS,08858C,0,False,False
8500.0,1075.0,3700.0,VIS,08858C,0,False,False
8500.0,1075.0,3700.0,VIS,08858C,0,True,False
8500.0,1125.0,3675.0,VIS,08858C,0,False,False
8500.0,1025.0,3725.0,VIS,08858C,0,False,False
8500.0,1025.0,3725.0,VIS,08858C,0,False,False
8500.0,1000.0,3725.0,VIS,08858C,0,True,False
8500.0,975.0,3750.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1100.0,3675.0,VIS,08858C,0,False,False
8500.0,1075.0,3700.0,VIS,08858C,0,False,False
8500.0,1025.0,3725.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1150.0,3675.0,VIS,08858C,0,False,False
8500.0,1150.0,3675.0,VIS,08858C,0,False,False
8500.0,1125.0,3675.0,VIS,08858C,0,False,False
8500.0,1075.0,3700.0,VIS,08858C,0,False,False
8500.0,1025.0,3725.0,VIS,08858C,0,False,False
8500.0,1150.0,3675.0,VIS,08858C,0,False,False
8500.0,1175.0,3650.0,VIS,08858C,0,False,False
8500.0,1625.0,3450.0,cc,CCCCCC,0,False,False
8500.0,1625.0,3450.0,cc,CCCCCC,0,False,False
8500.0,1600.0,3475.0,cc,CCCCCC,0,False,False
8500.0,1650.0,3450.0,others,CCCCCC,0,False,False
8500.0,1600.0,3475.0,cc,CCCCCC,0,True,False
8500.0,1550.0,3500.0,cc,CCCCCC,0,False,False
8500.0,1650.0,3450.0,others,CCCCCC,0,False,False
8500.0,1800.0,3400.0,others,58BA48,0,False,False
8500.0,1800.0,3400.0,others,58BA48,0,False,False
8500.0,1725.0,3425.0,others,58BA48,0,False,False
8500.0,1725.0,3425.0,others,58BA48,0,False,False
8500.0,1700.0,3425.0,others,CCCCCC,0,False,False
8500.0,1700.0,3425.0,others,CCCCCC,0,True,False
8500.0,1700.0,3425.0,others,CCCCCC,0,False,False
8500.0,1675.0,3425.0,others,CCCCCC,0,False,False
8500.0,1625.0,3450.0,cc,CCCCCC,0,False,False
8500.0,1625.0,3450.0,cc,CCCCCC,0,False,False
8500.0,1825.0,3375.0,others,58BA48,0,False,False
8500.0,1775.0,3400.0,others,58BA48,0,True,False
8500.0,1650.0,3450.0,others,CCCCCC,0,False,False
8500.0,1675.0,3425.0,others,CCCCCC,0,False,False
8500.0,1675.0,3425.0,others,CCCCCC,0,False,False
3925.0,1850.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1850.0,4125.0,MO,1F9D5A,0,True,False
3900.0,1800.0,4125.0,MO,1F9D5A,0,False,False
3900.0,1775.0,4150.0,MO,1F9D5A,0,False,False
3900.0,1775.0,4150.0,MO,1F9D5A,0,False,True
3900.0,1750.0,4150.0,MO,1F9D5A,0,False,False
3900.0,1750.0,4150.0,MO,1F9D5A,0,True,False
3875.0,1625.0,4150.0,MO,1F9D5A,0,False,False
3875.0,1600.0,4150.0,MO,1F9D5A,0,False,False
3875.0,1600.0,4150.0,MO,1F9D5A,0,False,False
3925.0,1825.0,4125.0,MO,1F9D5A,0,False,True
3900.0,1700.0,4150.0,MO,1F9D5A,0,False,False
3900.0,1675.0,4150.0,MO,1F9D5A,0,False,True
3875.0,1650.0,4150.0,MO,1F9D5A,0,False,False
3875.0,1600.0,4150.0,MO,1F9D5A,0,False,False
3900.0,1700.0,4150.0,MO,1F9D5A,0,False,False
3875.0,1650.0,4150.0,MO,1F9D5A,0,False,False
3875.0,1650.0,4150.0,MO,1F9D5A,0,False,False
3900.0,1725.0,4150.0,MO,1F9D5A,0,False,False
3900.0,1775.0,4150.0,MO,1F9D5A,0,False,False
3950.0,2075.0,4100.0,MO,1F9D5A,0,True,True
3950.0,2075.0,4100.0,MO,1F9D5A,0,False,False
3950.0,2075.0,4100.0,MO,1F9D5A,0,False,False
3950.0,2025.0,4125.0,MO,1F9D5A,0,False,False
3950.0,2000.0,4125.0,MO,1F9D5A,0,True,False
3925.0,1975.0,4125.0,MO,1F9D5A,0,True,False
3925.0,1975.0,4125.0,MO,1F9D5A,0,True,False
3925.0,1950.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1925.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1900.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1875.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1825.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1825.0,4125.0,MO,1F9D5A,0,False,False
3950.0,2025.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1900.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1900.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1825.0,4125.0,MO,1F9D5A,0,False,False
3950.0,2025.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1875.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1825.0,4125.0,MO,1F9D5A,0,False,False
3925.0,1825.0,4125.0,MO,1F9D5A,0,False,False
3975.0,2250.0,4100.0,MO,1F9D5A,0,False,True
3975.0,2250.0,4100.0,MO,1F9D5A,0,True,True
3975.0,2225.0,4100.0,MO,1F9D5A,0,True,True
3950.0,2150.0,4100.0,MO,1F9D5A,0,False,False
3950.0,2150.0,4100.0,MO,1F9D5A,0,False,False
3950.0,2150.0,4100.0,MO,1F9D5A,0,False,False
3950.0,2150.0,4100.0,MO,1F9D5A,0,False,False
3950.0,2150.0,4100.0,MO,1F9D5A,0,True,False
3950.0,2100.0,4100.0,MO,1F9D5A,0,True,False
3950.0,2075.0,4100.0,MO,1F9D5A,0,False,False
3950.0,2075.0,4100.0,MO,1F9D5A,0,True,False
3950.0,2075.0,4100.0,MO,1F9D5A,0,False,False
3950.0,2075.0,4100.0,MO,1F9D5A,0,True,False
3975.0,2175.0,4100.0,MO,1F9D5A,0,False,True
3950.0,2150.0,4100.0,MO,1F9D5A,0,True,False
3950.0,2075.0,4100.0,MO,1F9D5A,0,False,False
3950.0,2150.0,4100.0,MO,1F9D5A,0,True,False
3950.0,2075.0,4100.0,MO,1F9D5A,0,False,False
3950.0,2100.0,4100.0,MO,1F9D5A,0,False,False
4025.0,2575.0,4050.0,MO,1F9D5A,0,False,True
4025.0,2600.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2600.0,4050.0,MO,1F9D5A,0,True,False
4025.0,2575.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2550.0,4075.0,MO,1F9D5A,0,False,False
4025.0,2525.0,4075.0,MO,1F9D5A,0,False,False
4025.0,2525.0,4075.0,MO,1F9D5A,0,True,True
4000.0,2500.0,4075.0,MO,1F9D5A,0,False,False
4000.0,2500.0,4075.0,MO,1F9D5A,0,False,False
4000.0,2475.0,4075.0,MO,1F9D5A,0,False,False
4000.0,2425.0,4075.0,MO,1F9D5A,0,False,False
4000.0,2425.0,4075.0,MO,1F9D5A,0,False,False
4000.0,2425.0,4075.0,MO,1F9D5A,0,False,True
4000.0,2400.0,4075.0,MO,1F9D5A,0,False,False
4025.0,2600.0,4050.0,MO,1F9D5A,0,False,False
4000.0,2475.0,4075.0,MO,1F9D5A,0,False,False
4000.0,2425.0,4075.0,MO,1F9D5A,0,False,False
4000.0,2425.0,4075.0,MO,1F9D5A,0,False,False
4025.0,2600.0,4050.0,MO,1F9D5A,0,True,False
4050.0,2850.0,4025.0,MO,1F9D5A,0,False,False
4050.0,2825.0,4050.0,MO,1F9D5A,0,False,False
4050.0,2800.0,4050.0,MO,1F9D5A,0,False,False
4050.0,2800.0,4050.0,MO,1F9D5A,0,False,False
4050.0,2775.0,4050.0,MO,1F9D5A,0,False,False
4050.0,2775.0,4050.0,MO,1F9D5A,0,False,False
4050.0,2750.0,4050.0,MO,1F9D5A,0,False,False
4050.0,2750.0,4050.0,MO,1F9D5A,0,False,False
4050.0,2700.0,4050.0,MO,1F9D5A,0,False,False
4050.0,2700.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2675.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2650.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2625.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2625.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2600.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2600.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2600.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2575.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2650.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2625.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2575.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2625.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2625.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2625.0,4050.0,MO,1F9D5A,0,False,False
4050.0,2775.0,4050.0,MO,1F9D5A,0,False,False
4025.0,2625.0,4050.0,MO,1F9D5A,0,False,False
4100.0,3050.0,4025.0,cc,CCCCCC,0,False,False
4100.0,3075.0,4025.0,cc,CCCCCC,0,False,False
4100.0,3050.0,4025.0,cc,CCCCCC,0,False,False
4100.0,3050.0,4025.0,cc,CCCCCC,0,False,False
4075.0,3000.0,4025.0,cc,1F9D5A,0,False,False
4075.0,2950.0,4025.0,MO,1F9D5A,0,True,True
4075.0,2950.0,4025.0,MO,1F9D5A,0,True,True
4075.0,2950.0,4025.0,MO,1F9D5A,0,True,True
4075.0,2875.0,4025.0,MO,1F9D5A,0,False,False
4050.0,2850.0,4025.0,MO,1F9D5A,0,False,False
4075.0,2875.0,4025.0,MO,1F9D5A,0,False,False
4050.0,2850.0,4025.0,MO,1F9D5A,0,False,False
4075.0,2875.0,4025.0,MO,1F9D5A,0,False,False
4050.0,2850.0,4025.0,MO,1F9D5A,0,False,False
4050.0,2850.0,4025.0,MO,1F9D5A,0,False,False
4050.0,2850.0,4025.0,MO,1F9D5A,0,False,False
4050.0,2850.0,4025.0,MO,1F9D5A,0,False,False
4050.0,2825.0,4050.0,MO,1F9D5A,0,False,False
4050.0,2825.0,4050.0,MO,1F9D5A,0,False,False
4100.0,3075.0,4025.0,cc,CCCCCC,0,False,False
4100.0,3075.0,4025.0,cc,CCCCCC,0,False,False
4050.0,2825.0,4050.0,MO,1F9D5A,0,False,False
3500.0,1800.0,4375.0,MO,1F9D5A,0,False,False
3500.0,1750.0,4375.0,MO,1F9D5A,0,False,False
3500.0,1825.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2050.0,4375.0,MO,1F9D5A,0,False,False
3525.0,2000.0,4375.0,MO,1F9D5A,0,False,False
3525.0,2000.0,4375.0,MO,1F9D5A,0,False,False
3525.0,1975.0,4375.0,MO,1F9D5A,0,False,False
3525.0,2000.0,4375.0,MO,1F9D5A,0,False,False
3525.0,2000.0,4375.0,MO,1F9D5A,0,False,False
3525.0,1975.0,4375.0,MO,1F9D5A,0,False,False
3525.0,1975.0,4375.0,MO,1F9D5A,0,False,False
3525.0,1975.0,4375.0,MO,1F9D5A,0,False,False
3525.0,1950.0,4375.0,MO,1F9D5A,0,False,False
3525.0,1950.0,4375.0,MO,1F9D5A,0,False,False
3525.0,1950.0,4375.0,MO,1F9D5A,0,False,False
3500.0,1850.0,4375.0,MO,1F9D5A,0,False,False
3500.0,1850.0,4375.0,MO,1F9D5A,0,False,False
3500.0,1850.0,4375.0,MO,1F9D5A,0,False,False
3500.0,1850.0,4375.0,MO,1F9D5A,0,False,False
3500.0,1850.0,4375.0,MO,1F9D5A,0,False,False
3500.0,1825.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2050.0,4375.0,MO,1F9D5A,0,False,False
3525.0,2000.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2025.0,4375.0,MO,1F9D5A,0,False,False
3525.0,1950.0,4375.0,MO,1F9D5A,0,False,False
3525.0,1950.0,4375.0,MO,1F9D5A,0,False,False
3500.0,1875.0,4375.0,MO,1F9D5A,0,False,False
3600.0,2300.0,4350.0,MO,1F9D5A,0,False,False
3600.0,2300.0,4350.0,MO,1F9D5A,0,False,False
3575.0,2250.0,4375.0,MO,1F9D5A,0,True,False
3575.0,2225.0,4375.0,MO,1F9D5A,0,True,False
3575.0,2225.0,4375.0,MO,1F9D5A,0,False,False
3575.0,2200.0,4375.0,MO,1F9D5A,0,False,False
3575.0,2200.0,4375.0,MO,1F9D5A,0,False,False
3575.0,2275.0,4350.0,MO,1F9D5A,0,False,False
3575.0,2175.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2150.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2125.0,4375.0,MO,1F9D5A,0,False,False
3575.0,2175.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2125.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2125.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2125.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2050.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2025.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2025.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2075.0,4375.0,MO,1F9D5A,0,False,False
3550.0,2075.0,4375.0,MO,1F9D5A,0,False,False
3625.0,2550.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2525.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2525.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2500.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2475.0,4350.0,MO,1F9D5A,0,True,False
3625.0,2475.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2425.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2425.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2425.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2425.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2450.0,4350.0,MO,1F9D5A,0,False,False
3600.0,2300.0,4350.0,MO,1F9D5A,0,False,False
3600.0,2300.0,4350.0,MO,1F9D5A,0,False,False
3600.0,2300.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2550.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2550.0,4350.0,MO,1F9D5A,0,False,False
3600.0,2400.0,4350.0,MO,1F9D5A,0,True,False
3600.0,2400.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2550.0,4350.0,MO,1F9D5A,0,False,False
3675.0,2775.0,4350.0,MO,1F9D5A,0,True,False
3675.0,2775.0,4350.0,MO,1F9D5A,0,False,False
3675.0,2775.0,4350.0,MO,1F9D5A,0,False,False
3675.0,2725.0,4350.0,MO,1F9D5A,0,True,True
3675.0,2700.0,4350.0,MO,1F9D5A,0,True,False
3650.0,2675.0,4350.0,MO,1F9D5A,0,True,True
3650.0,2675.0,4350.0,MO,1F9D5A,0,True,False
3650.0,2675.0,4350.0,MO,1F9D5A,0,False,False
3650.0,2625.0,4350.0,MO,1F9D5A,0,True,True
3650.0,2600.0,4350.0,MO,1F9D5A,0,True,True
3650.0,2575.0,4350.0,MO,1F9D5A,0,False,False
3650.0,2575.0,4350.0,MO,1F9D5A,0,False,False
3625.0,2525.0,4350.0,MO,1F9D5A,0,False,False
3650.0,2675.0,4350.0,MO,1F9D5A,0,False,False
3650.0,2600.0,4350.0,MO,1F9D5A,0,True,True
3625.0,2550.0,4350.0,MO,1F9D5A,0,False,False
3725.0,3025.0,4325.0,cc,1F9D5A,0,False,False
3700.0,2950.0,4350.0,MO,1F9D5A,0,False,False
3700.0,2950.0,4350.0,MO,1F9D5A,0,False,False
3700.0,2925.0,4350.0,MO,1F9D5A,0,False,False
3700.0,2925.0,4350.0,MO,1F9D5A,0,False,False
3700.0,2900.0,4350.0,MO,1F9D5A,0,False,False
3700.0,2875.0,4350.0,MO,1F9D5A,0,False,False
3700.0,2850.0,4350.0,MO,1F9D5A,0,True,True
3675.0,2825.0,4350.0,MO,1F9D5A,0,True,False
3675.0,2825.0,4350.0,MO,1F9D5A,0,True,False
3675.0,2800.0,4350.0,MO,1F9D5A,0,True,False
3675.0,2800.0,4350.0,MO,1F9D5A,0,True,False
3700.0,2925.0,4350.0,MO,1F9D5A,0,False,False
3700.0,2875.0,4350.0,MO,1F9D5A,0,False,False
3800.0,3475.0,4325.0,cc,CCCCCC,0,True,True
3775.0,3350.0,4325.0,cc,CCCCCC,0,True,True
3775.0,3350.0,4325.0,cc,CCCCCC,0,True,True
3775.0,3300.0,4325.0,cc,CCCCCC,0,True,True
3775.0,3275.0,4325.0,cc,CCCCCC,0,True,True
3775.0,3275.0,4325.0,cc,CCCCCC,0,False,True
3775.0,3250.0,4325.0,cc,CCCCCC,0,True,True
3750.0,3200.0,4325.0,cc,CCCCCC,0,True,True
3750.0,3150.0,4325.0,cc,CCCCCC,0,True,True
3750.0,3150.0,4325.0,cc,CCCCCC,0,True,True
3750.0,3125.0,4325.0,cc,CCCCCC,0,True,True
3750.0,3125.0,4325.0,cc,CCCCCC,0,True,True
3725.0,3100.0,4325.0,cc,CCCCCC,0,True,True
3725.0,3100.0,4325.0,cc,CCCCCC,0,True,True
3775.0,3250.0,4325.0,cc,CCCCCC,0,False,True
3750.0,3175.0,4325.0,cc,CCCCCC,0,False,True
3750.0,3175.0,4325.0,cc,CCCCCC,0,True,True
3850.0,3725.0,4325.0,CP,98D6F9,0,False,False
3825.0,3650.0,4325.0,CP,98D6F9,0,False,False
3825.0,3600.0,4325.0,others,CCCCCC,0,False,False
3825.0,3575.0,4325.0,cc,CCCCCC,0,True,True
3825.0,3550.0,4325.0,cc,CCCCCC,0,True,True
3850.0,3700.0,4325.0,CP,98D6F9,0,False,False
3900.0,4025.0,4300.0,CP,98D6F9,0,False,False
3900.0,4000.0,4300.0,CP,98D6F9,0,False,False
3900.0,4000.0,4300.0,CP,98D6F9,0,False,False
3900.0,4000.0,4300.0,CP,98D6F9,0,True,False
3950.0,4250.0,4300.0,CP,98D6F9,0,False,False
3950.0,4200.0,4300.0,CP,98D6F9,0,True,False
3925.0,4175.0,4300.0,CP,98D6F9,0,False,False
3925.0,4175.0,4300.0,CP,98D6F9,0,False,False
3925.0,4150.0,4300.0,CP,98D6F9,0,False,False
3925.0,4100.0,4300.0,CP,98D6F9,0,False,False
3925.0,4100.0,4300.0,CP,98D6F9,0,False,False
3925.0,4100.0,4300.0,CP,98D6F9,0,False,False
3925.0,4100.0,4300.0,CP,98D6F9,0,True,False
3925.0,4075.0,4300.0,CP,98D6F9,0,False,False
3925.0,4050.0,4300.0,CP,98D6F9,0,True,False
3925.0,4050.0,4300.0,CP,98D6F9,0,False,False
3900.0,4025.0,4300.0,CP,98D6F9,0,False,False
3900.0,4000.0,4300.0,CP,98D6F9,0,False,False
3900.0,4000.0,4300.0,CP,98D6F9,0,True,False
3900.0,4000.0,4300.0,CP,98D6F9,0,True,False
3900.0,4000.0,4300.0,CP,98D6F9,0,False,False
3950.0,4225.0,4300.0,CP,98D6F9,0,False,False
3925.0,4175.0,4300.0,CP,98D6F9,0,False,False
3900.0,4025.0,4300.0,CP,98D6F9,0,False,False
3925.0,4175.0,4300.0,CP,98D6F9,0,False,False
3900.0,4000.0,4300.0,CP,98D6F9,0,False,False
4000.0,4550.0,4300.0,CP,98D6F9,0,False,False
4000.0,4575.0,4300.0,CP,98D6F9,0,False,False
4000.0,4550.0,4300.0,CP,98D6F9,0,False,False
4000.0,4550.0,4300.0,CP,98D6F9,0,False,False
4000.0,4525.0,4300.0,CP,98D6F9,0,False,False
4000.0,4525.0,4300.0,CP,98D6F9,0,False,False
4000.0,4500.0,4300.0,CP,98D6F9,0,False,False
3975.0,4450.0,4300.0,CP,98D6F9,0,False,False
3975.0,4450.0,4300.0,CP,98D6F9,0,False,False
3975.0,4450.0,4300.0,CP,98D6F9,0,True,True
3975.0,4375.0,4300.0,CP,98D6F9,0,False,False
4000.0,4575.0,4300.0,CP,98D6F9,0,False,True
4000.0,4550.0,4300.0,CP,98D6F9,0,False,False
4000.0,4550.0,4300.0,CP,98D6F9,0,False,False
4000.0,4575.0,4300.0,CP,98D6F9,0,False,True
4000.0,4575.0,4300.0,CP,98D6F9,0,False,True
4050.0,4775.0,4275.0,CP,98D6F9,0,False,False
4025.0,4700.0,4275.0,CP,98D6F9,0,False,False
4025.0,4650.0,4275.0,CP,98D6F9,0,True,True
4025.0,4625.0,4275.0,CP,98D6F9,0,False,False
4025.0,4600.0,4275.0,CP,98D6F9,0,False,False
4025.0,4600.0,4275.0,CP,98D6F9,0,False,False
4000.0,4575.0,4300.0,CP,98D6F9,0,False,False
4000.0,4550.0,4300.0,CP,98D6F9,0,False,False
4000.0,4550.0,4300.0,CP,98D6F9,0,False,False
4000.0,4575.0,4300.0,CP,98D6F9,0,False,False
4000.0,4575.0,4300.0,CP,98D6F9,0,False,False
4000.0,4550.0,4300.0,CP,98D6F9,0,False,False
4000.0,4525.0,4300.0,CP,98D6F9,0,False,False
4000.0,4525.0,4300.0,CP,98D6F9,0,False,False
4000.0,4550.0,4300.0,CP,98D6F9,0,False,False
4025.0,4650.0,4275.0,CP,98D6F9,0,False,True
4000.0,4550.0,4300.0,CP,98D6F9,0,False,False
4025.0,4675.0,4275.0,CP,98D6F9,0,True,True
4100.0,5100.0,4275.0,CP,98D6F9,0,False,False
4100.0,5075.0,4275.0,CP,98D6F9,0,False,False
4100.0,5075.0,4275.0,CP,98D6F9,0,False,False
4100.0,5050.0,4275.0,CP,98D6F9,0,False,False
4100.0,5050.0,4275.0,CP,98D6F9,0,False,False
4100.0,5025.0,4275.0,CP,98D6F9,0,False,False
4075.0,4925.0,4275.0,CP,98D6F9,0,False,False
4075.0,4925.0,4275.0,CP,98D6F9,0,False,False
4075.0,4900.0,4275.0,CP,98D6F9,0,False,False
4050.0,4800.0,4275.0,CP,98D6F9,0,True,True
4075.0,4925.0,4275.0,CP,98D6F9,0,False,True
4150.0,5350.0,4250.0,ACB,80CDF8,0,False,False
4150.0,5325.0,4275.0,ACB,80CDF8,0,False,False
4150.0,5300.0,4275.0,ACB,80CDF8,0,False,False
4150.0,5300.0,4275.0,ACB,80CDF8,0,False,False
4125.0,5225.0,4275.0,ACB,80CDF8,0,False,False
4125.0,5200.0,4275.0,CP,98D6F9,0,False,False
4125.0,5200.0,4275.0,CP,98D6F9,0,False,False
4125.0,5200.0,4275.0,CP,98D6F9,0,False,False
4125.0,5175.0,4275.0,CP,98D6F9,0,False,False
4100.0,5125.0,4275.0,CP,98D6F9,0,False,False
4100.0,5075.0,4275.0,CP,98D6F9,0,False,False
4100.0,5075.0,4275.0,CP,98D6F9,0,False,False
4150.0,5325.0,4275.0,ACB,80CDF8,0,False,False
4200.0,5625.0,4250.0,ACB,80CDF8,0,False,False
4200.0,5550.0,4250.0,ACB,80CDF8,0,False,True
4175.0,5500.0,4250.0,ACB,80CDF8,0,False,False
4175.0,5475.0,4250.0,ACB,80CDF8,0,False,False
4175.0,5475.0,4250.0,ACB,80CDF8,0,False,False
4150.0,5350.0,4250.0,ACB,80CDF8,0,False,False
4150.0,5325.0,4275.0,ACB,80CDF8,0,True,False
4150.0,5325.0,4275.0,ACB,80CDF8,0,False,False
4150.0,5325.0,4275.0,ACB,80CDF8,0,False,False
4250.0,5875.0,4250.0,ACB,80CDF8,0,False,True
4225.0,5775.0,4250.0,ACB,80CDF8,0,False,False
4225.0,5775.0,4250.0,ACB,80CDF8,0,False,False
4200.0,5650.0,4250.0,ACB,80CDF8,0,False,False
4200.0,5650.0,4250.0,ACB,80CDF8,0,False,False
4200.0,5625.0,4250.0,ACB,80CDF8,0,False,False
4200.0,5600.0,4250.0,ACB,80CDF8,0,False,False
4250.0,5875.0,4250.0,ACB,80CDF8,0,False,False
7725.0,1175.0,3275.0,VIS,009FAC,0,False,False
7650.0,1425.0,3300.0,VIS,009FAC,0,False,False
7675.0,1400.0,3300.0,VIS,009FAC,0,False,False
7650.0,1425.0,3300.0,VIS,009FAC,0,False,False
7675.0,1375.0,3300.0,VIS,009FAC,0,False,False
7675.0,1375.0,3300.0,VIS,009FAC,0,False,False
